Category,Model,Train WAPE (%),Train R2,Validation WAPE (%),Validation R2,Test WAPE (%),Test R2,Test MAE,Test RMSE,Test Bias,X,Y,split_strategy,selected_on_validation
Jewellery - Necklaces,Random Forest,13.282,0.944,90.563,-0.333,59.662,-3.464,23.514,26.435,-23.514,7,7,purged_chronological,False
Jewellery - Necklaces,XGBoost,0.943,1.0,92.012,-0.413,65.085,-4.093,25.651,28.237,-25.651,7,7,purged_chronological,False
"Jigsaw Puzzles, Card Games & Board Games",7-Day Rolling Sum Baseline,58.09,-0.959,32.702,-0.326,31.513,-1.869,2108.039,2679.471,-14.118,7,7,purged_chronological,True
"Jigsaw Puzzles, Card Games & Board Games",Linear Regression,37.699,0.28,48.907,-1.394,36.178,-2.331,2420.106,2886.82,-1693.909,7,7,purged_chronological,False
"Jigsaw Puzzles, Card Games & Board Games",Random Forest,7.734,0.951,42.278,-1.29,59.864,-6.282,4004.58,4268.421,-4004.58,7,7,purged_chronological,False
"Jigsaw Puzzles, Card Games & Board Games",XGBoost,0.737,1.0,43.785,-1.419,57.535,-5.837,3848.769,4135.885,-3848.769,7,7,purged_chronological,False
Jumbo Bags & Shoppers,7-Day Rolling Sum Baseline,44.199,-0.523,42.863,-2.588,55.546,-2.071,4151.49,4906.457,-63.216,7,7,purged_chronological,False
Jumbo Bags & Shoppers,Linear Regression,25.662,0.477,24.434,-0.094,37.819,-0.42,2826.582,3337.071,-609.086,7,7,purged_chronological,True
Jumbo Bags & Shoppers,Random Forest,6.08,0.964,29.381,-1.029,39.265,-1.07,2934.642,4028.428,-2834.963,7,7,purged_chronological,False
Jumbo Bags & Shoppers,XGBoost,0.209,1.0,26.846,-0.599,37.405,-1.006,2795.609,3965.689,-2614.623,7,7,purged_chronological,False
Kitchen Storage & Containers,7-Day Rolling Sum Baseline,52.491,-1.035,27.221,-2.062,24.57,-2.337,881.196,1101.357,230.255,7,7,purged_chronological,False
Kitchen Storage & Containers,Linear Regression,30.611,0.315,23.348,-1.485,21.646,-1.077,776.345,868.771,-171.798,7,7,purged_chronological,True
Kitchen Storage & Containers,Random Forest,7.875,0.937,29.061,-1.564,27.624,-2.966,990.729,1200.649,-984.796,7,7,purged_chronological,False
Kitchen Storage & Containers,XGBoost,0.598,1.0,31.733,-1.966,37.434,-5.111,1342.572,1490.366,-1342.572,7,7,purged_chronological,False
Kitchen Utensils & Tools,7-Day Rolling Sum Baseline,36.153,-0.29,30.382,-1.493,30.259,-0.621,386.882,440.179,-121.784,7,7,purged_chronological,False
Kitchen Utensils & Tools,Linear Regression,20.382,0.623,13.218,0.417,32.839,-0.993,419.864,488.01,-354.236,7,7,purged_chronological,True
Kitchen Utensils & Tools,Random Forest,4.979,0.974,18.478,-0.049,35.909,-1.493,459.118,545.869,-440.45,7,7,purged_chronological,False
Kitchen Utensils & Tools,XGBoost,0.252,1.0,22.574,-0.453,38.654,-1.695,494.219,567.546,-488.805,7,7,purged_chronological,False
Lamps & Lampshades,7-Day Rolling Sum Baseline,74.672,-0.902,67.175,-2.136,53.998,-1.735,97.588,122.474,1.549,7,7,purged_chronological,False
Lamps & Lampshades,Linear Regression,50.817,0.143,49.315,-1.017,76.137,-3.314,137.599,153.829,-137.599,7,7,purged_chronological,False
Lamps & Lampshades,Random Forest,12.977,0.929,47.6,-1.085,70.097,-2.734,126.684,143.112,-126.684,7,7,purged_chronological,True
Lamps & Lampshades,XGBoost,0.734,1.0,48.358,-1.387,70.915,-2.738,128.162,143.191,-128.162,7,7,purged_chronological,False
Lanterns,7-Day Rolling Sum Baseline,71.474,-2.043,78.851,-2.032,47.217,-1.084,265.843,336.42,-34.118,7,7,purged_chronological,False
Lanterns,Linear Regression,39.528,0.311,38.332,0.076,33.788,-0.423,190.232,278.043,-140.873,7,7,purged_chronological,True
Lanterns,Random Forest,7.342,0.963,43.188,-0.383,73.174,-4.141,411.981,528.433,328.663,7,7,purged_chronological,False
Lanterns,XGBoost,0.959,1.0,40.33,-0.181,43.859,-0.873,246.937,318.983,-223.062,7,7,purged_chronological,False
Lunch Boxes & Snack Bags,7-Day Rolling Sum Baseline,42.225,-0.426,21.756,-1.179,27.234,-0.687,1941.0,2414.49,-781.98,7,7,purged_chronological,True
Lunch Boxes & Snack Bags,Linear Regression,25.732,0.458,37.477,-4.627,22.572,-0.013,1608.75,1871.478,677.57,7,7,purged_chronological,False
Lunch Boxes & Snack Bags,Random Forest,5.741,0.969,27.656,-2.86,27.505,-0.439,1960.344,2230.267,-1039.51,7,7,purged_chronological,False
Lunch Boxes & Snack Bags,XGBoost,0.293,1.0,31.214,-4.169,30.515,-0.757,2174.864,2464.089,-984.702,7,7,purged_chronological,False
Memo Boards & Blackboards,7-Day Rolling Sum Baseline,69.704,-1.678,51.961,-0.813,32.67,-0.353,148.745,251.589,-55.529,7,7,purged_chronological,False
Memo Boards & Blackboards,Linear Regression,36.807,0.391,51.79,-0.778,41.261,-0.285,187.857,245.199,31.977,7,7,purged_chronological,False
Memo Boards & Blackboards,Random Forest,8.243,0.948,50.515,-0.87,40.857,-0.559,186.019,270.101,-176.521,7,7,purged_chronological,False
Memo Boards & Blackboards,XGBoost,0.413,1.0,50.248,-0.881,45.439,-0.742,206.883,285.508,-199.707,7,7,purged_chronological,True
Metal Signs & Plaques,7-Day Rolling Sum Baseline,43.337,-1.204,43.22,-0.637,37.523,-0.63,1372.451,1918.413,-750.333,7,7,purged_chronological,False
Metal Signs & Plaques,Linear Regression,19.499,0.526,46.109,-0.714,38.352,-0.832,1402.775,2033.64,-1149.864,7,7,purged_chronological,False
Metal Signs & Plaques,Random Forest,4.835,0.964,38.298,-0.464,28.895,0.042,1056.892,1470.503,-348.313,7,7,purged_chronological,True
Metal Signs & Plaques,XGBoost,0.192,1.0,39.993,-0.708,26.626,0.071,973.874,1448.277,-403.739,7,7,purged_chronological,False
Mirrors,7-Day Rolling Sum Baseline,72.291,-0.683,54.098,-1.923,36.039,-0.075,138.667,181.623,-81.922,7,7,purged_chronological,False
Mirrors,Linear Regression,40.901,0.505,107.782,-8.887,72.611,-2.396,279.383,322.778,92.312,7,7,purged_chronological,False
Mirrors,Random Forest,9.967,0.955,58.753,-1.696,39.479,-0.413,151.9,208.204,-10.421,7,7,purged_chronological,False
Mirrors,XGBoost,0.36,1.0,52.481,-1.298,51.835,-0.878,199.444,240.016,0.993,7,7,purged_chronological,True
"Mugs, Cups & Glasses",7-Day Rolling Sum Baseline,36.634,-1.443,67.195,-1.035,43.687,-1.253,2100.784,2667.413,-75.294,7,7,purged_chronological,False
"Mugs, Cups & Glasses",Linear Regression,18.874,0.335,44.168,-0.302,36.596,-0.533,1759.816,2200.453,-1542.955,7,7,purged_chronological,False
"Mugs, Cups & Glasses",Random Forest,4.312,0.957,40.743,0.093,30.605,-0.247,1471.719,1984.537,-201.224,7,7,purged_chronological,True
